,Logistic Regression,Support Vector Classifier,Decision Tree,Random Forest,Gaussian Naive Bayes,Artificial Neural Networks,Best Classification Algo,Type
Accuracy,0.9990379444641488,0.9990063442651824,0.9987570535395605,0.9992872366691463,0.9759696956007703,0.999252125049305,Random Forest,ActualDataPerfromance
Precision,0.865638693833698,0.9238771427450672,0.6667268364710225,0.8922666666666668,0.05844663047652325,0.8569391362219173,Support Vector Classifier,ActualDataPerfromance
Recall,0.5544423830138115,0.4954030096887241,0.6601525458668316,0.7008864151721295,0.8474335188620902,0.7009688723974438,Gaussian Naive Bayes,ActualDataPerfromance
F1 Score,0.6589144930147774,0.6192108582808384,0.6494103794298213,0.7724683679177433,0.10927386463750902,0.7651048175057424,Random Forest,ActualDataPerfromance
Accuracy,0.9291419728118461,0.9325571988815222,0.9973058051808733,0.9998452420730526,0.9133144575558798,0.9989501081546874,Random Forest,SMOTEDataPerfromance
Precision,0.9601690544401578,0.9716629033780346,0.9959525513277725,0.9996941820341299,0.9702266885126762,0.9979506502357121,Random Forest,SMOTEDataPerfromance
Recall,0.8955559854386859,0.8911594534231397,0.9986704887184988,0.9999964827743876,0.8528076253451278,0.9999542760670384,Random Forest,SMOTEDataPerfromance
F1 Score,0.9267049433429335,0.9296569098784035,0.9973095636583865,0.999845288013281,0.9077323899033111,0.9989513144773221,Random Forest,SMOTEDataPerfromance
Accuracy,0.9291419728118461,0.9325571988815222,0.9972917362784235,0.9998522765242777,0.9133144575558798,0.9988797636424389,Random Forest,RANDUSDataPerfromance
Precision,0.9601690544401578,0.9716629033780346,0.9958619222408716,0.9997047222793464,0.9702266885126762,0.9977690577846712,Random Forest,RANDUSDataPerfromance
Recall,0.8955559854386859,0.8911594534231397,0.9987337987795227,1.0,0.8528076253451278,0.9999964827743876,Random Forest,RANDUSDataPerfromance
F1 Score,0.9267049433429335,0.9296569098784035,0.9972957179197138,0.9998523188477817,0.9077323899033111,0.9988812704620009,Random Forest,RANDUSDataPerfromance
Accuracy,0.9291419728118461,0.9325571988815222,0.9972882190528111,0.9998417248474404,0.9133144575558798,0.998969452895556,Random Forest,SVMSMOTEDataPerfromance
Precision,0.9601690544401578,0.9716629033780346,0.9958585607890873,0.9996836411758165,0.9702266885126762,0.9980065919820132,Random Forest,SVMSMOTEDataPerfromance
Recall,0.8955559854386859,0.8911594534231397,0.9987302815539103,1.0,0.8528076253451278,0.9999366899389761,Random Forest,SVMSMOTEDataPerfromance
F1 Score,0.9267049433429335,0.9296569098784035,0.9972922368481785,0.9998417727356588,0.9077323899033111,0.9989705658367758,Random Forest,SVMSMOTEDataPerfromance
